GEOMETRY v06: 29976 meshes; SHA256(names/world vertices at1micrometre)=523cd725f671151f70fb591add45a53875bbd80cb619a85760088230495d1416; loaded C:\Users\lukap\Documents\GitHub\craftbot\experiments\17_Arrhenius_Laboratories\Astra\preflight_v06.blend
Column_88 -> Pedestal_88: area0.3600m2; coverage1.000000; gap0.00000000m
Column_89 -> Pedestal_89: area0.3600m2; coverage1.000000; gap0.00000000m
Column_9 -> Pedestal_9: area0.3600m2; coverage1.000000; gap0.00000000m
Column_90 -> Pedestal_90: area0.3600m2; coverage1.000000; gap0.00000000m
Column_91 -> Pedestal_91: area0.3600m2; coverage1.000000; gap0.00000000m
Column_92 -> Pedestal_92: area0.3600m2; coverage1.000000; gap0.00000000m
Column_93 -> Pedestal_93: area0.3600m2; coverage1.000000; gap0.00000000m
Column_94 -> Pedestal_94: area0.3600m2; coverage1.000000; gap0.00000000m
Column_95 -> Pedestal_95: area0.3600m2; coverage1.000000; gap0.00000000m
Column_96 -> Pedestal_96: area0.3600m2; coverage1.000000; gap0.00000000m
Column_97 -> Pedestal_97: area0.3600m2; coverage1.000000; gap0.00000000m
Column_98 -> Pedestal_98: area0.3600m2; coverage1.000000; gap0.00000000m
Column_99 -> Pedestal_99: area0.3600m2; coverage1.000000; gap0.00000000m
CoreFoundation_E -> CoreFooting_E: area15.4375m2; coverage1.000000; gap0.00000000m
CoreFoundation_N -> CoreFooting_N: area15.4375m2; coverage1.000000; gap0.00000000m
CoreFoundation_S -> CoreFooting_S: area15.4375m2; coverage1.000000; gap0.00000000m
CoreFoundation_W -> CoreFooting_W: area15.4375m2; coverage1.000000; gap0.00000000m
Pedestal_0 -> FootingPad_0: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_1 -> FootingPad_1: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_10 -> FootingPad_10: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_100 -> FootingPad_100: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_101 -> FootingPad_101: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_102 -> FootingPad_102: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_103 -> FootingPad_103: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_104 -> FootingPad_104: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_105 -> FootingPad_105: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_106 -> FootingPad_106: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_107 -> FootingPad_107: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_108 -> FootingPad_108: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_109 -> FootingPad_109: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_11 -> FootingPad_11: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_110 -> FootingPad_110: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_111 -> FootingPad_111: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_112 -> FootingPad_112: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_113 -> FootingPad_113: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_114 -> FootingPad_114: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_115 -> FootingPad_115: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_116 -> FootingPad_116: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_117 -> FootingPad_117: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_118 -> FootingPad_118: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_119 -> FootingPad_119: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_12 -> FootingPad_12: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_120 -> FootingPad_120: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_121 -> FootingPad_121: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_122 -> FootingPad_122: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_123 -> FootingPad_123: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_13 -> FootingPad_13: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_14 -> FootingPad_14: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_15 -> FootingPad_15: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_16 -> FootingPad_16: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_17 -> FootingPad_17: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_18 -> FootingPad_18: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_19 -> FootingPad_19: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_2 -> FootingPad_2: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_20 -> FootingPad_20: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_21 -> FootingPad_21: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_22 -> FootingPad_22: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_23 -> FootingPad_23: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_24 -> FootingPad_24: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_25 -> FootingPad_25: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_26 -> FootingPad_26: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_27 -> FootingPad_27: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_28 -> FootingPad_28: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_29 -> FootingPad_29: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_3 -> FootingPad_3: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_30 -> FootingPad_30: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_31 -> FootingPad_31: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_32 -> FootingPad_32: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_33 -> FootingPad_33: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_34 -> FootingPad_34: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_35 -> FootingPad_35: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_36 -> FootingPad_36: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_37 -> FootingPad_37: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_38 -> FootingPad_38: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_39 -> FootingPad_39: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_4 -> FootingPad_4: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_40 -> FootingPad_40: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_41 -> FootingPad_41: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_42 -> FootingPad_42: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_43 -> FootingPad_43: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_44 -> FootingPad_44: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_45 -> FootingPad_45: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_46 -> FootingPad_46: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_47 -> FootingPad_47: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_48 -> FootingPad_48: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_49 -> FootingPad_49: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_5 -> FootingPad_5: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_50 -> FootingPad_50: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_51 -> FootingPad_51: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_52 -> FootingPad_52: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_53 -> FootingPad_53: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_54 -> FootingPad_54: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_55 -> FootingPad_55: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_56 -> FootingPad_56: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_57 -> FootingPad_57: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_58 -> FootingPad_58: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_59 -> FootingPad_59: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_6 -> FootingPad_6: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_60 -> FootingPad_60: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_61 -> FootingPad_61: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_62 -> FootingPad_62: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_63 -> FootingPad_63: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_64 -> FootingPad_64: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_65 -> FootingPad_65: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_66 -> FootingPad_66: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_67 -> FootingPad_67: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_68 -> FootingPad_68: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_69 -> FootingPad_69: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_7 -> FootingPad_7: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_70 -> FootingPad_70: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_71 -> FootingPad_71: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_72 -> FootingPad_72: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_73 -> FootingPad_73: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_74 -> FootingPad_74: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_75 -> FootingPad_75: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_76 -> FootingPad_76: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_77 -> FootingPad_77: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_78 -> FootingPad_78: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_79 -> FootingPad_79: area0.3600m2; coverage1.000000; gap0.00000000m
